name,O,M,R,W,ECON
Imran Tahir,10,0,61,2,6.10
Lungi Ngidi,10,0,66,3,6.60
Kagiso Rabada,10,0,66,2,6.60
Dwaine Pretorius,7,0,42,0,6.00
Andile Phehlukwayo,8,0,44,1,5.50
Jean-Paul Duminy,2,0,14,0,7.00
Aiden Markram,3,0,16,0,5.33
Chris Woakes,5,0,24,0,4.80
Jofra Archer,7,1,27,3,3.85
Adil Rashid,8,0,35,1,4.37
Moeen Ali,10,0,63,1,6.30
Liam Plunkett,7,0,37,2,5.28
Ben Stokes,2.5,0,12,2,4.23
Sheldon Cottrell,4,0,18,1,4.50
Jason Holder,5,0,42,3,8.40
Andre Russell,3,1,4,2,1.33
Carlos Brathwaite,4,0,14,0,3.50
Oshane Thomas,5.4,0,27,4,4.76
Mohammad Amir,6,0,26,3,4.33
Hasan Ali,4,0,39,0,9.75
Wahab Riaz,3.4,1,40,0,10.90
Matt Henry,7,0,29,3,4.14
Trent Boult,9,0,44,1,4.88
Lockie Ferguson,6.2,0,22,3,3.47
Colin de Grandhomme,2,0,14,1,7.00
James Neesham,3,0,21,1,7.00
Mitchell Santner,2,0,5,1,2.50
Lasith Malinga,5.0,0,46,0,9.2
Suranga Lakmal,4.0,0,28,0,7.0
Isuru Udana,3.0,0,24,0,8.0
Thisara Perera,3.0,0,25,0,8.33
Jeevan Mendis,1.1,0,11,0,9.42
Mitchell Starc,7,1,31,1,4.42
Pat Cummins,8.2,0,40,3,4.80
Nathan Coulter-Nile,8,1,36,0,4.50
Marcus Stoinis,7,1,37,2,5.28
Adam Zampa,8,0,60,3,7.50
Mujeeb Ur Rahman,4.5,0,45,1,9.31
Hamid Hassan,6,2,15,0,2.50
Dawlat Zadran,5,0,32,0,6.40
Gulbadin Naib,5,0,32,1,6.40
Mohammad Nabi,6,0,32,0,5.33
Rashid Khan,8,0,52,1,6.50
Lungi Ngidi,4,0,34,0,8.50
Kagiso Rabada,10,0,57,0,5.70
Andile Phehlukwayo,10,1,52,2,5.20
Chris Morris,10,0,73,2,7.30
Aiden Markram,5,0,38,0,7.60
Imran Tahir,10,0,57,2,5.70
Jean-Paul Duminy,1,0,10,0,10.00
Mustafizur Rahman,10,0,67,3,6.70
Mehidy Hasan Miraz,10,0,44,1,4.40
Mohammad Saifuddin,8,1,57,2,7.12
Shakib Al Hasan,10,0,50,1,5.00
Mashrafe Mortaza,6,0,49,0,8.16
Mosaddek Hossain,6,0,38,0,6.33
Chris Woakes,8,1,71,3,8.87
Jofra Archer,10,0,79,0,7.90
Moeen Ali,10,0,50,3,5.00
Mark Wood,10,0,53,2,5.30
Ben Stokes,7,0,43,0,6.14
Adil Rashid,5,0,43,0,8.60
Shadab Khan,10,0,63,2,6.30
Mohammad Amir,10,0,67,2,6.70
Wahab Riaz,10,0,82,3,8.20
Hasan Ali,10,0,66,0,6.60
Mohammad Hafeez,7,0,43,1,6.14
Shoaib Malik,3,0,10,1,3.33
Dawlat Zadran,6,0,34,2,5.66
Hamid Hassan,7,0,53,1,7.57
Mujeeb Ur Rahman,3,0,19,0,6.33
Mohammad Nabi,9,0,30,4,3.33
Gulbadin Naib,4,0,38,0,9.50
Rashid Khan,7.5,1,17,2,2.17
Lasith Malinga,6.4,0,39,3,5.85
Suranga Lakmal,6,0,27,0,4.50
Isuru Udana,6,0,28,1,4.66
Nuwan Pradeep,9,1,31,4,3.44
Thisara Perera,4,0,19,1,4.75
Dhananjaya de Silva,1,0,7,0,7.00
Bhuvneshwar Kumar,10,0,44,2,4.40
Jasprit Bumrah,10,1,35,2,3.50
Hardik Pandya,6,0,31,0,5.16
Kuldeep Yadav,10,0,46,1,4.60
Yuzvendra Chahal,10,0,51,4,5.10
Kedar Jadhav,4,0,16,0,4.00
Imran Tahir,10,0,58,0,5.80
Kagiso Rabada,10,1,39,2,3.90
Chris Morris,10,3,36,1,3.60
Andile Phehlukwayo,8.3,0,40,1,4.70
Tabraiz Shamsi,9,0,54,0,6.00
Matt Henry,9.2,0,47,4,5.03
Trent Boult,10,0,44,2,4.40
Lockie Ferguson,10,0,40,1,4.00
Colin de Grandhomme,8,0,39,1,4.87
James Neesham,2,0,24,0,12.00
Mitchell Santner,10,1,41,1,4.10
Mashrafe Mortaza,5,0,32,0,6.40
Mehidy Hasan Miraz,10,0,47,2,4.70
Mustafizur Rahman,7.1,0,48,0,6.69
Shakib Al Hasan,10,0,47,2,4.70
Mohammad Saifuddin,7,0,41,2,5.85
Mosaddek Hossain,8,0,33,2,4.12
Oshane Thomas,10,0,63,2,6.30
Sheldon Cottrell,9,0,56,2,6.22
Andre Russell,8,0,41,2,5.12
Carlos Brathwaite,10,0,67,3,6.70
Jason Holder,7,2,28,1,4.00
Ashley Nurse,5,0,31,0,6.20
