name
Jason Roy
Jonny Bairstow
Joe Root
Eoin Morgan(c)
Ben Stokes
Jos Buttler
Moeen Ali
Chris Woakes
Liam Plunkett
Jofra Archer
Quinton de Kock
Hashim Amla
Aiden Markram
Faf du Plessis(c)
Rassie van der Dussen
Jean-Paul Duminy
Dwaine Pretorius
Andile Phehlukwayo
Kagiso Rabada
Lungi Ngidi
Imran Tahir
Imam-ul-Haq
Fakhar Zaman
Babar Azam
Haris Sohail
Sarfaraz Ahmed(c)
Mohammad Hafeez
Imad Wasim
Shadab Khan
Hasan Ali
Wahab Riaz
Mohammad Amir
Chris Gayle
Shai Hope
Darren Bravo
Nicholas Pooran
Shimron Hetmyer
Lahiru Thirimanne
Dimuth Karunaratne(c)
Kusal Perera
Kusal Mendis
Dhananjaya de Silva
Angelo Mathews
Jeevan Mendis
Thisara Perera
Isuru Udana
Suranga Lakmal
Lasith Malinga
Martin Guptill
Colin Munro
Mohammad Shahzad
Hazratullah Zazai
Rahmat Shah
Hashmatullah Shahidi
Mohammad Nabi
Gulbadin Naib(c)
Najibullah Zadran
Rashid Khan
Dawlat Zadran
Mujeeb Ur Rahman
Hamid Hassan
Aaron Finch(c)
David Warner
Usman Khawaja
Steven Smith
Glenn Maxwell
Tamim Iqbal
Soumya Sarkar
Shakib Al Hasan
Mushfiqur Rahim
Mohammad Mithun
Mahmudullah
Mosaddek Hossain
Mehidy Hasan Miraz
David Miller
Chris Morris
Asif Ali
Shoaib Malik
Adil Rashid
Mark Wood
Nuwan Pradeep
Shikhar Dhawan
Rohit Sharma
Virat Kohli(c)
KL Rahul
MS Dhoni
Hardik Pandya
Mohammad Saifuddin
Mashrafe Mortaza(c)
Mustafizur Rahman
Kane Williamson(c)
Ross Taylor
Tom Latham
James Neesham
Colin de Grandhomme
Mitchell Santner
Matt Henry
Lockie Ferguson
Marcus Stoinis
Alex Carey
Nathan Coulter-Nile
Pat Cummins
Mitchell Starc
Adam Zampa
Evin Lewis
Jason Holder(c)
Andre Russell
Carlos Brathwaite
Ashley Nurse
Sheldon Cottrell
Oshane Thomas
Noor Ali Zadran
Ikram Alikhil
Aftab Alam
Kedar Jadhav
Shaun Marsh
Kane Richardson
Shaheen Shah Afridi
Shannon Gabriel
Milinda Siriwardana
Asghar Afghan
Vijay Shankar
Litton Das
James Vince
Sabbir Rahman
Avishka Fernando
Mohammed Shami
Kuldeep Yadav
Jasprit Bumrah
Kemar Roach
Samiullah Shinwari
Sunil Ambris
Fabian Allen
Jason Behrendorff
Nathan Lyon
Henry Nicholls
Ish Sodhi
Trent Boult
Rishabh Pant
Dinesh Karthik
Bhuvneshwar Kumar
Rubel Hossain
Tim Southee
Sayed Shirzad
Ravindra Jadeja
Yuzvendra Chahal
Peter Handscomb
Jason Holder
Gulbadin Naib
Mashrafe Mortaza
Tabraiz Shamsi
""
Aaron Finch
Beuran Hendricks
Kane Williamson
Kasun Rajitha
Jeffrey Vandersay
Dimuth Karunaratne
